date,portfolio_value,total_exposure,cash,num_positions,returns
2022-12-21,-3263897.7720856303,910389.244556427,-4174287.0166420573,3,3.568482843085974e-05
2022-12-22,-3261012.937080824,907504.4095516205,-4168517.3466324443,3,-0.0008838619363262801
2022-12-23,-3260509.903681242,907001.3761520386,-4167511.2798332805,3,-0.0001542567936060335
2022-12-26,-3261446.2926506633,907937.76512146,-4169384.0577721233,3,0.00028719096002882694
2022-12-27,-3260542.9246544475,907034.3971252441,-4167577.3217796916,3,-0.0002769838639536948
2022-12-28,-3258245.851051771,904737.3235225677,-4162983.174574339,3,-0.0007045064750741403
2022-12-29,-3259936.8944286937,906428.3668994904,-4166365.261328184,3,0.0005190042293392594
2022-12-30,-3260235.543501341,906727.0159721375,-4166962.5594734782,3,9.16119183649311e-05
2023-01-02,-3262462.641251051,908954.1137218475,-4171416.7549728984,3,0.0006831094624895062
2023-01-03,-3260998.184931242,907489.6574020386,-4168487.8423332805,3,-0.0004488806404376877
2023-01-04,-3258275.891792738,904767.3642635345,-4163043.2560562724,3,-0.0008348036349984378
2023-01-05,-3257221.5154289836,903712.9878997803,-4160934.503328764,3,-0.0003235994737001979
2023-01-06,-3253368.4327721233,899859.9052429199,-4153228.338015043,3,-0.0011829354063298547
2023-01-09,-3258705.760490858,905197.2329616547,-4163902.9934525127,3,0.001640554345142764
2023-01-10,-3261302.3474335307,907793.8199043274,-4169096.167337858,3,0.0007968154026529728
2023-01-11,-3261667.366278135,908158.8387489319,-4169826.205027067,3,0.0001119242577714008
2023-01-12,-3262396.8973278636,908888.3697986603,-4171285.267126524,3,0.00022366813283003495
2023-01-13,-3264858.7479710216,911350.2204418182,-4176208.96841284,3,0.0007546140830303472
2023-01-16,-3264697.33859297,911188.8110637665,-4175886.1496567363,3,-4.9438395505529975e-05
2023-01-17,-3264401.163113081,910892.6355838776,-4175293.7986969585,3,-9.072065467996548e-05
2023-01-18,-3265208.9848637218,911700.4573345184,-4176909.44219824,3,0.0002474639942446899
2023-01-19,-3269541.408073866,916032.8805446625,-4185574.2886185283,3,0.0013268440795757286
2023-01-20,-3270782.1681618327,917273.6406326294,-4188055.808794462,3,0.0003794905563523354
2023-01-23,-3269568.79640814,916060.2688789368,-4185629.065287077,3,-0.0003709729634409076
2023-01-24,-3269112.403643095,915603.8761138916,-4184716.2797569865,3,-0.00013958805991376444
2023-01-25,-3268313.1649613017,914804.6374320984,-4183117.8023934,3,-0.0002444818602451715
2023-01-26,-3271376.784098112,917868.2565689087,-4189245.0406670207,3,0.0009373701301498283
2023-01-27,-3269153.471243345,915644.9437141418,-4184798.414957487,3,-0.000679626041724779
2023-01-30,-3267882.4617981547,914373.9342689514,-4182256.396067106,3,-0.00038878855225688014
2023-01-31,-3268211.1218094463,914702.5942802429,-4182913.716089689,3,0.00010057277614272664
2023-02-01,-3268657.56593939,33439396.44098282,-36708054.00692221,4,0.00013660198601139761
2023-02-02,-3645710.2008938426,33072445.780038834,-36718155.980932675,4,0.11535397249423718
